hit_index,sensor_hit_index,track_index,x_intersect,y_intersect,z_intersect,x_hit,y_hit,z_hit,pT,phi0,cellID,distance,matched_sensor_id,sensor_x_mm,sensor_y_mm,sensor_z_mm,candidate_sensor_ids,hit_row,hit_col,expected_row,expected_col
71,0,931,-110.96085952390422,62.086748631591036,129.54588317871094,-111.654976,60.77859,129.54588,6.940284729003906,-2.6328306198120117,335642627,1.480902938128251,404.0,-114.423046224,55.1032348679,135.45,[404],829.0,712.0,881.3405505476413,740.4874680038313
72,0,311,-72.99918749259814,104.2027379201063,128.81402587890622,-72.948814,104.22407,128.81403,6.984034538269043,-2.1832573413848877,335626243,0.05470290899685299,340.0,-79.1832048361,99.29259827339999,135.45,[340],799.0,851.0,798.4055858682524,849.3606937400745
73,0,700,127.08509434975394,-6.699099226432736,124.60747528076172,126.9685,-6.543326,124.607475,7.221679210662842,0.05134308710694313,335544323,0.19457642213997034,20.0,127.0,0.0,135.45,[20],340.0,600.0,334.03603094269056,605.4037739901577
74,0,292,-125.6632936383503,-31.021222676768957,132.14427185058594,-125.544044,-31.78175,132.14427,6.9261298179626465,2.898169994354248,335667203,0.7698192969062281,500.0,-126.25316462800001,-28.8164609473,135.45,[500],483.0,630.0,513.8095308212417,625.5948395859889
75,0,230,-125.0334074531529,34.54571682133246,132.41514587402344,-124.68592,35.54144,132.41515,6.927040100097656,-2.8734302520751953,335650819,1.0546135796405638,436.0,-126.25316462800001,28.8164609473,135.45,[436],870.0,664.0,831.1702349612984,650.7902869938846
76,0,558,-30.085556405880197,123.36377647779409,127.65078735351562,-30.329079,123.31132,127.65079,7.033878326416016,-1.8113576173782349,335609859,0.24910850139429216,276.0,-28.2601586125,123.815844847,135.45,[276],581.0,519.0,583.9172652317637,528.9840882647923
77,0,606,59.14509678501781,-115.20934932591626,128.2779998779297,59.26143,-115.16039,128.278,7.138660907745361,1.0951489210128784,335732739,0.126213670477417,756.0,56.1879442157,-116.675468393,135.45,[756],662.0,724.0,660.6447626833494,720.2861027727124
78,0,787,-94.36381032501959,-89.39940891879814,132.02444458007812,-94.465904,-89.194855,132.02444,6.961980819702148,2.381802797317505,335683587,0.22861666648027407,564.0,-101.24717697999999,-80.7419293407,135.45,[564],263.0,873.0,255.700816876074,877.3346661992161
79,0,849,60.58574796134053,114.58471543052656,128.365966796875,61.41581,114.1229,128.36597,7.139925003051758,-1.0857819318771362,335585283,0.9498810966373467,180.0,56.1879442157,116.675468393,135.45,[180],499.0,811.0,518.3698815010621,777.9121498256211
80,0,676,-22.87554601703596,125.02270697025233,127.6164016723633,-22.937635,124.99837,127.6164,7.042360305786133,-1.7531192302703857,335609859,0.06668967881331853,276.0,-28.2601586125,123.815844847,135.45,[276],649.0,814.0,650.2744849300933,817.3845038185618
